From,To,Subject,Time,noofattachments,noofattachments_downloaded
"""'GST Revenue Accounting' via Yatra Gst"" <yatra.gst@yatra.com>",YATRA.GST@yatra.com,Your GST Invoice I070000019188201 for 27AANCS4967N1ZC | DELHI | 19-MAY-24.,2024-05-20 04:15:51 IST,1,1
"""'GST Revenue Accounting' via Yatra Gst"" <yatra.gst@yatra.com>",BPCL.GST@yatra.com,Your GST Invoice I070000019188188 for 27AAACB2902M1ZT | DELHI | 19-MAY-24.,2024-05-20 04:15:06 IST,1,1
"""'GST Revenue Accounting' via Yatra Gst"" <yatra.gst@yatra.com>",TRAVELADMIN@renewpower.in,Your GST Invoice I070000019187467 for 06AAFCR1111D1Z4 | DELHI | 19-MAY-24.,2024-05-20 03:55:55 IST,1,1
"""'GST Revenue Accounting' via Yatra Gst"" <yatra.gst@yatra.com>",TRAVELADMIN@renewpower.in,Your GST Invoice I070000019187455 for 06AAFCR1111D1Z4 | DELHI | 19-MAY-24.,2024-05-20 03:55:17 IST,1,1
"""'GST Revenue Accounting' via Yatra Gst"" <yatra.gst@yatra.com>",TRAVELADMIN@renewpower.in,Your GST Invoice I070000019187440 for 06AAFCR1111D1Z4 | DELHI | 19-MAY-24.,2024-05-20 03:54:26 IST,1,1
"""'GST Revenue Accounting' via Yatra Gst"" <yatra.gst@yatra.com>",BPCL.GST@yatra.com,Your GST Invoice I070000019186339 for 23AAACB2902M1Z1 | DELHI | 19-MAY-24.,2024-05-20 03:26:20 IST,1,1
"""'GST Revenue Accounting' via Yatra Gst"" <yatra.gst@yatra.com>",YATRA.GST@yatra.com,Your GST Invoice I070000019186340 for 06AAACW1336L1ZC | DELHI | 19-MAY-24.,2024-05-20 03:26:23 IST,1,1
"""'GST Revenue Accounting' via Yatra Gst"" <yatra.gst@yatra.com>",YATRA.GST@yatra.com,Your GST Invoice I070000019186332 for 27AAACZ0243R1ZX | DELHI | 19-MAY-24.,2024-05-20 03:25:56 IST,1,1
"""'GST Revenue Accounting' via Yatra Gst"" <yatra.gst@yatra.com>",YATRA.GST@yatra.com,Your GST Invoice I070000019186326 for 27AAACZ0243R1ZX | DELHI | 19-MAY-24.,2024-05-20 03:25:35 IST,1,1
"""'GST Revenue Accounting' via Yatra Gst"" <yatra.gst@yatra.com>",BPCL.GST@yatra.com,Your GST Invoice I070000019185481 for 27AAACB2902M1ZT | DELHI | 19-MAY-24.,2024-05-20 03:10:23 IST,1,1
"""'GST Revenue Accounting' via Yatra Gst"" <yatra.gst@yatra.com>",BPCL.GST@yatra.com,Your GST Invoice I070000019185476 for 27AAACB2902M1ZT | DELHI | 19-MAY-24.,2024-05-20 03:10:13 IST,1,1
"""'GST Revenue Accounting' via Yatra Gst"" <yatra.gst@yatra.com>",YATRA.GST@yatra.com,Your GST Invoice I070000019179864 for 07AAGCS0920E1ZR | DELHI | 18-MAY-24.,2024-05-20 02:02:44 IST,1,1
"""'GST Revenue Accounting' via Techmahindra Gst"" <techmahindra.gst@yatra.com>",TECHMAHINDRA.GST@yatra.com,Your GST Invoice I070000019178523 for 09AAACM3484F1ZG | DELHI | 18-MAY-24.,2024-05-20 01:48:48 IST,1,1
"""'GST Revenue Accounting' via Yatra Gst"" <yatra.gst@yatra.com>",YATRA.GST@yatra.com,Your GST Invoice I070000019178521 for 07AAGCS0920E1ZR | DELHI | 18-MAY-24.,2024-05-20 01:48:41 IST,1,1
"""'GST Revenue Accounting' via Yatra Gst"" <yatra.gst@yatra.com>",YATRA.GST@yatra.com,Your GST Invoice I070000019178520 for 07AAGCS0920E1ZR | DELHI | 18-MAY-24.,2024-05-20 01:48:37 IST,1,1
"""'GST Revenue Accounting' via Yatra Gst"" <yatra.gst@yatra.com>",YATRA.GST@yatra.com,Your GST Invoice I070000019178515 for 37AAACH0351E1Z4 | DELHI | 18-MAY-24.,2024-05-20 01:48:20 IST,1,1
"""'GST Revenue Accounting' via Techmahindra Gst"" <techmahindra.gst@yatra.com>",TECHMAHINDRA.GST@yatra.com,Your GST Invoice I070000019178501 for 36AAACM3484F2ZI | DELHI | 18-MAY-24.,2024-05-20 01:47:47 IST,1,1
"""'GST Revenue Accounting' via Amararaja GST"" <AmararajaGST@yatra.com>",AMARARAJAGST@yatra.com,Your GST Invoice I070000019178499 for 37AADCM5441K1ZA | DELHI | 18-MAY-24.,2024-05-20 01:47:40 IST,1,1
"""'GST Revenue Accounting' via Techmahindra Gst"" <techmahindra.gst@yatra.com>",TECHMAHINDRA.GST@yatra.com,Your GST Invoice I070000019178497 for 09AAACM3484F2ZF | DELHI | 18-MAY-24.,2024-05-20 01:47:33 IST,1,1
"""'GST Revenue Accounting' via Yatra Gst"" <yatra.gst@yatra.com>",YATRA.GST@yatra.com,Your GST Invoice I070000019178493 for 06AAACH2364M3ZH | DELHI | 18-MAY-24.,2024-05-20 01:47:19 IST,1,1
"""'GST Revenue Accounting' via Techmahindra Gst"" <techmahindra.gst@yatra.com>",TECHMAHINDRA.GST@yatra.com,Your GST Invoice I070000019178490 for 36AAICM5632K1Z6 | DELHI | 18-MAY-24.,2024-05-20 01:47:09 IST,1,1
"""'GST Revenue Accounting' via Yatra Gst"" <yatra.gst@yatra.com>",YATRA.GST@yatra.com,Your GST Invoice I070000019178489 for 06AAACH2364M3ZH | DELHI | 18-MAY-24.,2024-05-20 01:47:06 IST,1,1
"""'GST Revenue Accounting' via Yatra Gst"" <yatra.gst@yatra.com>",YATRA.GST@yatra.com,Your GST Invoice I070000019178487 for 07AAFCG2966D1ZO | DELHI | 18-MAY-24.,2024-05-20 01:46:59 IST,1,1
"""'GST Revenue Accounting' via Techmahindra Gst"" <techmahindra.gst@yatra.com>",TECHMAHINDRA.GST@yatra.com,Your GST Invoice I070000019178483 for 36AAICM5632K1Z6 | DELHI | 18-MAY-24.,2024-05-20 01:46:55 IST,1,1
"""'GST Revenue Accounting' via Yatra Gst"" <yatra.gst@yatra.com>",YATRA.GST@yatra.com,Your GST Invoice I070000019178291 for 36AADCM3491M1Z2 | DELHI | 18-MAY-24.,2024-05-20 01:43:07 IST,1,1
"""'GST Revenue Accounting' via Yatra Gst"" <yatra.gst@yatra.com>",YATRA.GST@yatra.com,Your GST Invoice I070000019178290 for 36AADCM3491M1Z2 | DELHI | 18-MAY-24.,2024-05-20 01:43:04 IST,1,1
"""'GST Revenue Accounting' via Yatra Gst"" <yatra.gst@yatra.com>",YATRA.GST@yatra.com,Your GST Invoice I070000019178289 for 36AADCM3491M1Z2 | DELHI | 18-MAY-24.,2024-05-20 01:43:01 IST,1,1
"""'GST Revenue Accounting' via Yatra Gst"" <yatra.gst@yatra.com>",YATRA.GST@yatra.com,Your GST Invoice I070000019178288 for 36AADCM3491M1Z2 | DELHI | 18-MAY-24.,2024-05-20 01:42:57 IST,1,1
"""'GST Revenue Accounting' via Yatra Gst"" <yatra.gst@yatra.com>",YATRA.GST@yatra.com,Your GST Invoice I070000019176745 for 27AADCH7426B1ZU | DELHI | 18-MAY-24.,2024-05-20 01:21:35 IST,1,1
"""'GST Revenue Accounting' via JubilantGST"" <JubilantGST@yatra.com>",JUBILANTGST@yatra.com,Your GST Invoice I070000019176736 for 06AADCC4657M2ZC | DELHI | 18-MAY-24.,2024-05-20 01:21:03 IST,1,1
"""'GST Revenue Accounting' via Yatra Gst"" <yatra.gst@yatra.com>",YATRA.GST@yatra.com,Your GST Invoice I070000019176735 for 06AAACH2364M3ZH | DELHI | 18-MAY-24.,2024-05-20 01:21:00 IST,1,1
"""'GST Revenue Accounting' via Techmahindra Gst"" <techmahindra.gst@yatra.com>",TECHMAHINDRA.GST@yatra.com,Your GST Invoice I070000019176732 for 24AAACM3484F1ZO | DELHI | 18-MAY-24.,2024-05-20 01:20:49 IST,1,1
"""'GST Revenue Accounting' via Techmahindra Gst"" <techmahindra.gst@yatra.com>",TECHMAHINDRA.GST@yatra.com,Your GST Invoice I070000019176730 for 09AAACM3484F1ZG | DELHI | 18-MAY-24.,2024-05-20 01:20:43 IST,1,1
"""'GST Revenue Accounting' via JubilantGST"" <JubilantGST@yatra.com>",JUBILANTGST@yatra.com,Your GST Invoice I070000019176723 for 09AABCV0200H1ZU | DELHI | 18-MAY-24.,2024-05-20 01:20:19 IST,1,1
"""'GST Revenue Accounting' via Yatra Gst"" <yatra.gst@yatra.com>",YATRA.GST@yatra.com,Your GST Invoice I070000019176719 for 27AAACH0351E1Z5 | DELHI | 18-MAY-24.,2024-05-20 01:20:12 IST,1,1
"""'GST Revenue Accounting' via Yatra Gst"" <yatra.gst@yatra.com>",YATRA.GST@yatra.com,Your GST Invoice I070000019176718 for 06AAACH2364M3ZH | DELHI | 18-MAY-24.,2024-05-20 01:20:08 IST,1,1
"""'GST Revenue Accounting' via Yatra Gst"" <yatra.gst@yatra.com>",YATRA.GST@yatra.com,Your GST Invoice I070000019176717 for 06AAACH2364M3ZH | DELHI | 18-MAY-24.,2024-05-20 01:20:05 IST,1,1
"""'GST Revenue Accounting' via Yatra Gst"" <yatra.gst@yatra.com>",BPCL.GST@yatra.com,Your GST Invoice I070000019175361 for 27AAACB2902M1ZT | DELHI | 18-MAY-24.,2024-05-20 00:48:45 IST,1,1
"""'GST Revenue Accounting' via Yatra Gst"" <yatra.gst@yatra.com>",TRAVELADMIN@renewpower.in,Your GST Invoice I070000019174855 for 06AAFCR1111D1Z4 | DELHI | 18-MAY-24.,2024-05-20 00:40:21 IST,1,1
"""'GST Revenue Accounting' via Yatra Gst"" <yatra.gst@yatra.com>",YATRA.GST@yatra.com,Your GST Invoice I070000019174348 for 29AACCO4289J1ZW | DELHI | 18-MAY-24.,2024-05-20 00:26:47 IST,1,1
"""'GST Revenue Accounting' via Yatra Gst"" <yatra.gst@yatra.com>",BPCL.GST@yatra.com,Your GST Invoice I070000019174341 for 09AAACB2902M1ZR | DELHI | 18-MAY-24.,2024-05-20 00:26:23 IST,1,1
"""'GST Revenue Accounting' via Yatra Gst"" <yatra.gst@yatra.com>",BPCL.GST@yatra.com,Your GST Invoice I070000019174330 for 09AAACB2902M1ZR | DELHI | 18-MAY-24.,2024-05-20 00:25:45 IST,1,1
"""'GST Revenue Accounting' via Yatra Gst"" <yatra.gst@yatra.com>",TRAVELADMIN@renewpower.in,Your GST Invoice I070000019173780 for 06AAFCR1111D1Z4 | DELHI | 18-MAY-24.,2024-05-20 00:09:55 IST,1,1
"""'GST Revenue Accounting' via Yatra Gst"" <yatra.gst@yatra.com>",YATRA.GST@yatra.com,Your GST Invoice I070000019173782 for 09AAACZ0243R1ZV | DELHI | 18-MAY-24.,2024-05-20 00:10:02 IST,1,1
Yatra For Business <corporatetravel@yatra.com>,"corp-services@yatra.com, rahul.poonia@yatra.com, bpcl.gst@yatra.com, balwant.chauhan@yatra.com, malkeet.pannu@yatra.com",[REPORT] | 1637184099 | BPCL | Reverse Feed | 20 May`24 | BatchId: 42939,,1,1
Yatra For Business <corporatetravel@yatra.com>,"corp-services@yatra.com, rahul.poonia@yatra.com, bpcl.gst@yatra.com, balwant.chauhan@yatra.com, malkeet.pannu@yatra.com",[ALERT] | 2070601642 | BPCL | Reverse Feed  | 20 May`24 | BatchId: 84058,,0,0
"""'GST Revenue Accounting' via Yatra Gst"" <yatra.gst@yatra.com>",YATRA.GST@yatra.com,Your GST Invoice I070000019172560 for 29AADCO3578R1ZH | DELHI | 18-MAY-24.,2024-05-19 23:38:23 IST,1,1
"""'GST Revenue Accounting' via Yatra Gst"" <yatra.gst@yatra.com>",BPCL.GST@yatra.com,Your GST Invoice I070000019172556 for 09AAACB2902M1ZR | DELHI | 18-MAY-24.,2024-05-19 23:38:09 IST,1,1
"""'GST Revenue Accounting' via Yatra Gst"" <yatra.gst@yatra.com>",BPCL.GST@yatra.com,Your GST Invoice I070000019171645 for 09AAACB2902M1ZR | DELHI | 18-MAY-24.,2024-05-19 23:21:07 IST,1,1
"""'GST Revenue Accounting' via Yatra Gst"" <yatra.gst@yatra.com>",BPCL.GST@yatra.com,Your GST Invoice I070000019171643 for 09AAACB2902M1ZR | DELHI | 18-MAY-24.,2024-05-19 23:21:01 IST,1,1
"""'GST Revenue Accounting' via Yatra Gst"" <yatra.gst@yatra.com>",BPCL.GST@yatra.com,Your GST Invoice I070000019171640 for 09AAACB2902M1ZR | DELHI | 18-MAY-24.,2024-05-19 23:20:50 IST,1,1
"""'GST Revenue Accounting' via Yatra Gst"" <yatra.gst@yatra.com>",YATRA.GST@yatra.com,Your GST Invoice I070000019171639 for 27AAACZ0243R1ZX | DELHI | 18-MAY-24.,2024-05-19 23:20:46 IST,1,1
"""'GST Revenue Accounting' via Techmahindra Gst"" <techmahindra.gst@yatra.com>",TECHMAHINDRA.GST@yatra.com,Your GST Invoice I070000019163116 for 27AAACM3484F2ZH | DELHI | 17-MAY-24.,2024-05-19 21:51:01 IST,1,1
"""'GST Revenue Accounting' via Yatra Gst"" <yatra.gst@yatra.com>",YATRA.GST@yatra.com,Your GST Invoice I070000019163112 for 07AABCH3165P2Z8 | DELHI | 17-MAY-24.,2024-05-19 21:50:57 IST,1,1
"""'GST Revenue Accounting' via Yatra Gst"" <yatra.gst@yatra.com>",YATRA.GST@yatra.com,Your GST Invoice I070000019163110 for 09AAACH0351E1Z3 | DELHI | 17-MAY-24.,2024-05-19 21:50:50 IST,1,1
"""'GST Revenue Accounting' via Yatra Gst"" <yatra.gst@yatra.com>",YATRA.GST@yatra.com,Your GST Invoice I070000019163109 for 07AAGCS0920E1ZR | DELHI | 17-MAY-24.,2024-05-19 21:50:47 IST,1,1
"""'GST Revenue Accounting' via Yatra Gst"" <yatra.gst@yatra.com>",YATRA.GST@yatra.com,Your GST Invoice I070000019163096 for 09AAACH0351E2Z2 | DELHI | 17-MAY-24.,2024-05-19 21:50:09 IST,1,1
"""'GST Revenue Accounting' via JubilantGST"" <JubilantGST@yatra.com>",JUBILANTGST@yatra.com,Your GST Invoice I070000019163091 for 09AABCV0200H1ZU | DELHI | 17-MAY-24.,2024-05-19 21:49:52 IST,1,1
"""'GST Revenue Accounting' via Yatra Gst"" <yatra.gst@yatra.com>",YATRA.GST@yatra.com,Your GST Invoice I070000019163090 for 07AAGCS0920E1ZR | DELHI | 17-MAY-24.,2024-05-19 21:49:49 IST,1,1
"""'GST Revenue Accounting' via Yatra Gst"" <yatra.gst@yatra.com>",YATRA.GST@yatra.com,Your GST Invoice I070000019163089 for 27AABCH3165P1Z7 | DELHI | 17-MAY-24.,2024-05-19 21:49:45 IST,1,1
"""'GST Revenue Accounting' via Techmahindra Gst"" <techmahindra.gst@yatra.com>",TECHMAHINDRA.GST@yatra.com,Your GST Invoice I070000019163087 for 36AAICM5632K1Z6 | DELHI | 17-MAY-24.,2024-05-19 21:49:38 IST,1,1
"""'GST Revenue Accounting' via Yatra Gst"" <yatra.gst@yatra.com>",YATRA.GST@yatra.com,Your GST Invoice I070000019163081 for 02AAACH0351E2ZG | DELHI | 17-MAY-24.,2024-05-19 21:49:35 IST,1,1
"""'GST Revenue Accounting' via Yatra Gst"" <yatra.gst@yatra.com>",YATRA.GST@yatra.com,Your GST Invoice I070000019161631 for 09AAACH0351E2Z2 | DELHI | 17-MAY-24.,2024-05-19 21:26:00 IST,1,1
"""'GST Revenue Accounting' via Yatra Gst"" <yatra.gst@yatra.com>",YATRA.GST@yatra.com,Your GST Invoice I070000019161629 for 09AAACH0351E2Z2 | DELHI | 17-MAY-24.,2024-05-19 21:25:53 IST,1,1
"""'GST Revenue Accounting' via Yatra Gst"" <yatra.gst@yatra.com>",YATRA.GST@yatra.com,Your GST Invoice I070000019161626 for 09AAACH0351E2Z2 | DELHI | 17-MAY-24.,2024-05-19 21:25:42 IST,1,1
"""'GST Revenue Accounting' via Amararaja GST"" <AmararajaGST@yatra.com>",AMARARAJAGST@yatra.com,Your GST Invoice I070000019161131 for 36AABCA9264E1ZQ | DELHI | 17-MAY-24.,2024-05-19 21:07:56 IST,1,1
"""'GST Revenue Accounting' via Yatra Gst"" <yatra.gst@yatra.com>",BPCL.GST@yatra.com,Your GST Invoice I070000019160239 for 27AAACB2902M1ZT | DELHI | 17-MAY-24.,2024-05-19 20:56:30 IST,1,1
"""'GST Revenue Accounting' via Yatra Gst"" <yatra.gst@yatra.com>",BPCL.GST@yatra.com,Your GST Invoice I070000019160226 for 09AAACB2902M1ZR | DELHI | 17-MAY-24.,2024-05-19 20:55:41 IST,1,1
"""'GST Revenue Accounting' via Yatra Gst"" <yatra.gst@yatra.com>",YATRA.GST@yatra.com,Your GST Invoice I070000019159761 for 06AAACZ0243R1Z1 | DELHI | 17-MAY-24.,2024-05-19 20:43:29 IST,1,1
"""'GST Revenue Accounting' via Yatra Gst"" <yatra.gst@yatra.com>",BPCL.GST@yatra.com,Your GST Invoice I070000019159084 for 27AAACB2902M1ZT | DELHI | 17-MAY-24.,2024-05-19 20:26:08 IST,1,1
"""'GST Revenue Accounting' via Yatra Gst"" <yatra.gst@yatra.com>",BPCL.GST@yatra.com,Your GST Invoice I070000019159078 for 27AAACB2902M1ZT | DELHI | 17-MAY-24.,2024-05-19 20:25:52 IST,1,1
"""'GST Revenue Accounting' via Yatra Gst"" <yatra.gst@yatra.com>",YATRA.GST@yatra.com,Your GST Invoice I070000019159064 for 20AAACH2364M1ZT | DELHI | 17-MAY-24.,2024-05-19 20:25:08 IST,1,1
"""'GST Revenue Accounting' via Yatra Gst"" <yatra.gst@yatra.com>",YATRA.GST@yatra.com,Your GST Invoice I070000019158423 for 09AAACZ0243R1ZV | DELHI | 17-MAY-24.,2024-05-19 20:11:52 IST,1,1
"""'GST Revenue Accounting' via Yatra Gst"" <yatra.gst@yatra.com>",BPCL.GST@yatra.com,Your GST Invoice I070000019157676 for 27AAACB2902M1ZT | DELHI | 17-MAY-24.,2024-05-19 19:49:23 IST,1,1
"""'GST Revenue Accounting' via Yatra Gst"" <yatra.gst@yatra.com>",YATRA.GST@yatra.com,Your GST Invoice I070000019156900 for 33AAACW1336L1ZF | DELHI | 17-MAY-24.,2024-05-19 19:31:06 IST,1,1
"""'GST Revenue Accounting' via Yatra Gst"" <yatra.gst@yatra.com>",BPCL.GST@yatra.com,Your GST Invoice I070000019156899 for 09AAACB2902M1ZR | DELHI | 17-MAY-24.,2024-05-19 19:31:03 IST,1,1
"""'GST Revenue Accounting' via Yatra Gst"" <yatra.gst@yatra.com>",BPCL.GST@yatra.com,Your GST Invoice I030000002111347 for 27AAACB2902M1ZT | PUNJAB | 19-MAY-24.,2024-05-19 18:03:37 IST,1,1
"""'GST Revenue Accounting' via Yatra Gst"" <yatra.gst@yatra.com>",BPCL.GST@yatra.com,Your GST Invoice I030000002109096 for 09AAACB2902M1ZR | PUNJAB | 18-MAY-24.,2024-05-19 17:31:41 IST,1,1
"""'GST Revenue Accounting' via Yatra Gst"" <yatra.gst@yatra.com>",BPCL.GST@yatra.com,Your GST Invoice I030000002109095 for 09AAACB2902M1ZR | PUNJAB | 18-MAY-24.,2024-05-19 17:31:38 IST,1,1
"""'GST Revenue Accounting' via Yatra Gst"" <yatra.gst@yatra.com>",BPCL.GST@yatra.com,Your GST Invoice I030000002109094 for 09AAACB2902M1ZR | PUNJAB | 18-MAY-24.,2024-05-19 17:31:34 IST,1,1
Dilshad Abdulmajeed <Dilshad_AbdulMajeed@singaporeair.com.sg>,"""TECHMAHINDRA.GST@YATRA.COM"" <TECHMAHINDRA.GST@yatra.com>",Singapore Airlines Limited | GST - Tax Invoice - APRIL 2024 |6186698408135_03573,2024-05-19 17:29:31 IST,1,1
Dilshad Abdulmajeed <Dilshad_AbdulMajeed@singaporeair.com.sg>,"""TECHMAHINDRA.GST@YATRA.COM"" <TECHMAHINDRA.GST@yatra.com>",Singapore Airlines Limited | GST - Tax Invoice - APRIL 2024 |6186698161478_10111,2024-05-19 17:29:28 IST,1,1
Dilshad Abdulmajeed <Dilshad_AbdulMajeed@singaporeair.com.sg>,"""TECHMAHINDRA.GST@YATRA.COM"" <TECHMAHINDRA.GST@yatra.com>",Singapore Airlines Limited | GST - Tax Invoice - APRIL 2024 |6186697912478_05109,2024-05-19 17:29:27 IST,1,1
Dilshad Abdulmajeed <Dilshad_AbdulMajeed@singaporeair.com.sg>,"""TECHMAHINDRA.GST@YATRA.COM"" <TECHMAHINDRA.GST@yatra.com>",Singapore Airlines Limited | GST - Tax Invoice - APRIL 2024 |6186697785303_03711,2024-05-19 17:29:25 IST,1,1
Dilshad Abdulmajeed <Dilshad_AbdulMajeed@singaporeair.com.sg>,"""TECHMAHINDRA.GST@YATRA.COM"" <TECHMAHINDRA.GST@yatra.com>",Singapore Airlines Limited | GST - Tax Invoice - APRIL 2024 |6186697435547_00605,2024-05-19 17:29:22 IST,1,1
Dilshad Abdulmajeed <Dilshad_AbdulMajeed@singaporeair.com.sg>,"""TECHMAHINDRA.GST@YATRA.COM"" <TECHMAHINDRA.GST@yatra.com>",Singapore Airlines Limited | GST - Tax Invoice - APRIL 2024 |6186697497889_01283,2024-05-19 17:29:19 IST,1,1
Dilshad Abdulmajeed <Dilshad_AbdulMajeed@singaporeair.com.sg>,"""YATRA.GST@YATRA.COM"" <YATRA.GST@yatra.com>",Singapore Airlines Limited | GST - Tax Invoice - APRIL 2024 |6186698449870_03939,2024-05-19 16:37:27 IST,1,1
Dilshad Abdulmajeed <Dilshad_AbdulMajeed@singaporeair.com.sg>,"""YATRA.GST@YATRA.COM"" <YATRA.GST@yatra.com>",Singapore Airlines Limited | GST - Tax Invoice - APRIL 2024 |6186698449865_03935,2024-05-19 16:37:23 IST,1,1
Dilshad Abdulmajeed <Dilshad_AbdulMajeed@singaporeair.com.sg>,"""YATRA.GST@YATRA.COM"" <YATRA.GST@yatra.com>",Singapore Airlines Limited | GST - Tax Invoice - APRIL 2024 |6186698450017_05098,2024-05-19 16:37:20 IST,1,1
Dilshad Abdulmajeed <Dilshad_AbdulMajeed@singaporeair.com.sg>,"""YATRA.GST@YATRA.COM"" <YATRA.GST@yatra.com>",Singapore Airlines Limited | GST - Tax Invoice - APRIL 2024 |6183070679381_05088,2024-05-19 16:37:16 IST,1,1
Dilshad Abdulmajeed <Dilshad_AbdulMajeed@singaporeair.com.sg>,"""YATRA.GST@YATRA.COM"" <YATRA.GST@yatra.com>",Singapore Airlines Limited | GST - Tax Invoice - APRIL 2024 |6186698381064_08250,2024-05-19 16:37:13 IST,1,1
Dilshad Abdulmajeed <Dilshad_AbdulMajeed@singaporeair.com.sg>,"""YATRA.GST@YATRA.COM"" <YATRA.GST@yatra.com>",Singapore Airlines Limited | GST - Tax Invoice - APRIL 2024 |6186698381066_08217,2024-05-19 16:37:10 IST,1,1
Dilshad Abdulmajeed <Dilshad_AbdulMajeed@singaporeair.com.sg>,"""YATRA.GST@YATRA.COM"" <YATRA.GST@yatra.com>",Singapore Airlines Limited | GST - Tax Invoice - APRIL 2024 |6186698100869_02859,2024-05-19 16:37:06 IST,1,1
Dilshad Abdulmajeed <Dilshad_AbdulMajeed@singaporeair.com.sg>,"""YATRA.GST@YATRA.COM"" <YATRA.GST@yatra.com>",Singapore Airlines Limited | GST - Tax Invoice - APRIL 2024 |6183070679360_03462,2024-05-19 16:37:03 IST,1,1
Dilshad Abdulmajeed <Dilshad_AbdulMajeed@singaporeair.com.sg>,"""YATRA.GST@YATRA.COM"" <YATRA.GST@yatra.com>",Singapore Airlines Limited | GST - Tax Invoice - APRIL 2024 |6186698100897_03003,2024-05-19 16:37:00 IST,1,1
